t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
0.0000,2,1,7536936,59,0.0408129,-7.02287,4.20944,0.821358,0.00354536,
0.3910,2,1,7536936,59,0.0648173,-6.95457,3.2572,0.790626,-0.00232024,
0.7820,2,1,7536936,59,0.0468716,-7.04477,2.1381,0.0700539,-0.0186264,
1.1570,2,1,7538103,59,0.0234867,-6.78223,2.0332,0.813342,-0.0778604,
1.5630,2,1,7538103,59,0.01851,-6.7576,1.6142,0.848038,-0.0834631,
1.9380,2,1,7538103,59,0.0206209,-6.90844,0.974707,0.857381,-0.090291,
2.3280,2,1,7539270,59,0.0155406,-6.81173,0.300527,0.830748,-0.0427059,
2.7350,2,1,7539270,59,0.0144418,-6.57444,0.862618,0.786114,-0.0153374,
3.1100,2,1,7539270,59,0.00514783,-6.74913,2.44857,0.776064,0.00296023,
3.5000,2,1,7540437,59,0.00297094,-6.77643,2.66912,0.0369121,0.00443449,
3.8910,2,1,7540437,59,0.00261633,-6.65057,3.08428,0.734086,0.0153582,
4.2820,2,1,7540437,59,0.0117211,-6.71919,3.35708,0.782243,0.0111087,
4.6570,2,1,7541604,59,0.0228423,-6.6941,4.53344,0.799442,0.0205969,
5.0630,2,1,7541604,59,0.0212446,-7.16696,9.14073,0.826226,0.0402131,
5.4380,2,1,7541604,59,0.0673449,-7.30942,8.50763,0.799193,0.0179221,
5.8280,2,1,7542771,59,0.0533848,-8.10817,7.97798,0.809492,0.0176507,
6.2350,2,1,7542771,59,0.0538801,-8.38493,9.47052,0.777742,0.00582779,
6.6100,2,1,7542771,59,0.0859716,-8.21996,8.51645,0.0368349,0.0444605,
7.0000,2,1,7543938,59,0.127131,-8.4402,8.51574,0.726437,0.122084,
7.3910,2,1,7543938,59,0.116826,-8.2938,8.50975,0.754648,0.129309,
7.7820,2,1,7543938,59,0.104165,-8.26239,8.14387,0.794492,0.0644179,
8.1570,2,1,7545105,59,0.0998036,-7.65724,6.34686,0.717915,0.0327163,
8.5630,2,1,7545105,59,0.0317231,-8.06948,4.47875,0.617598,0.118319,
8.9530,2,1,7545105,59,0.0210672,-8.3253,5.14378,0.560577,0.1059,
9.3280,2,1,7546273,59,0.128445,-7.85813,3.24178,0.694545,0.139807,
9.7350,2,1,7546273,59,0.0303927,-7.81608,2.43545,0.658881,0.13234,
10.1100,2,1,7546273,59,0.0134198,-8.4751,2.65696,0.615839,0.145837,
10.5000,2,1,7547439,59,0.00966137,-8.87532,2.71963,0.602929,0.136488,
10.8910,2,1,7547439,59,0.0113717,-9.15875,2.9183,0.613646,0.0947595,
11.2820,2,1,7547439,59,0.0364562,-9.39598,2.51601,0.685391,0.094791,
11.6570,2,1,7548592,59,0.0262046,-9.60969,-0.577664,0,0.0683782,
12.0470,2,1,7548592,59,0.0144445,-9.94513,0.9874,0.527624,-0.00757041,
12.4380,2,1,7548592,59,0.031048,-8.29367,0.231496,0.789908,-0.0312086,
12.8130,2,1,7549756,59,0.00881823,-8.69833,2.46094,0.828138,-0.0640785,
13.2190,2,1,7549756,59,0.0720987,-9.1379,1.87201,0.838302,-0.0454572,
13.5940,2,1,7549756,59,0.121191,-8.5226,1.18377,0.759542,0.0202923,
13.9850,2,1,7550923,59,0.0358565,-9.6243,-0.355194,0.880027,0.0574611,
14.3750,2,1,7550923,59,0.0166743,-11.0122,-1.34109,0.861707,-0.000232994,
14.7660,2,1,7550923,59,0.00233832,-12.4852,-0.741221,0.84589,-0.0668542,
