t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
0.0000,2,1,7580596,58,0.358245,16.7718,2.1824,0.875769,0.0605694,
0.2960,2,1,7580596,58,0.365628,16.1956,2.25799,0.864316,0.0478813,
0.5780,2,1,7580596,58,0.346315,14.2529,1.39865,0.819061,0.0274659,
0.8590,2,1,7580596,58,0.320386,10.9201,1.09862,0.836465,-0.0259765,
1.1400,2,1,7581747,58,0.334139,9.13511,1.14498,0.842173,-0.0663387,
1.4530,2,1,7581747,58,0.326509,3.00569,0.181171,0.796077,-0.155302,
1.7340,2,1,7581747,58,0.192195,-5.66083,-0.0608392,0.797769,-0.115243,
2.0150,2,1,7581747,58,0.16354,-10.0507,-1.26417,0.851352,-0.0935813,
2.2960,2,1,7582897,58,0.34015,-12.3519,-7.72719,0.852275,-0.126017,
2.5930,2,1,7582897,58,0.216836,-11.947,-10.2113,0.892523,-0.102147,
2.8750,2,1,7582897,58,0.0299236,-10.5442,-13.4903,0.954717,-0.120535,
3.1710,2,1,7582897,58,0.00924811,-9.79488,-16.0069,0.447489,-0.0732154,
3.4530,2,1,7584048,58,0.0156995,-10.0297,-16.4047,0.749379,-0.0669491,
3.7500,2,1,7584048,58,0.0265526,-10.4645,-16.7465,0.927938,-0.0515602,
4.0310,2,1,7584048,58,0.06197,-11.0375,-17.0118,0.928322,-0.114923,
4.3120,2,1,7584048,58,0.0958953,-11.377,-17.4427,0.91867,-0.13758,
4.5930,2,1,7585198,58,0.0568606,-11.1798,-17.2737,0.296042,-0.0862633,
4.9060,2,1,7585198,58,0.0434518,-10.8432,-17.1573,0.730716,-0.014927,
5.1870,2,1,7585198,58,0.0526215,-9.54003,-16.9807,0.921104,0.0342131,
5.4680,2,1,7585198,58,0.0440368,-8.99975,-16.4287,0.938388,0.0364484,
5.7500,2,1,7586348,58,0.0492792,-8.68787,-16.0071,0.945321,0.0247615,
6.0460,2,1,7586348,58,0.0409337,-8.61065,-15.8252,0.952135,0.00950737,
6.3280,2,1,7586348,58,0.042385,-8.64991,-15.6714,0.956822,0.0078799,
6.6090,2,1,7586348,58,0.0296937,-8.67352,-15.5107,0.950075,0.0135362,
6.9060,2,1,7587498,58,0.0272254,-8.96383,-15.656,0.955796,0.0103925,
7.2030,2,1,7587498,58,0.0331474,-9.15678,-15.8249,0.952126,0.0137868,
7.4840,2,1,7587498,58,0.0388102,-9.30372,-15.8565,0.951711,0.01323,
7.7650,2,1,7587498,58,0.0484043,-9.49302,-16.2338,0.95504,-0.00671842,
8.0460,2,1,7588648,58,0.0839132,-9.5602,-16.5781,0.958005,-0.00743328,
8.3430,2,1,7588648,58,0.0734401,-9.45315,-16.7229,0.944754,-0.00378416,
8.6400,2,1,7588648,58,0.0732995,-9.5752,-16.7911,0.937737,0.000906171,
8.9210,2,1,7588648,58,0.0748281,-9.94389,-16.7978,0.949475,-0.0174998,
9.1870,2,1,7589782,58,0.0925607,-10.1753,-16.4783,0.943513,-0.002657,
9.4840,2,1,7589782,58,0.0949164,-10.1744,-15.5289,0.176607,0.0146053,
9.7650,2,1,7589782,58,0.175898,-10.06,-13.1236,0.77157,-0.0282275,
10.0460,2,1,7589782,58,0.203274,-8.61844,-9.44227,0.89749,-0.0197698,
10.3280,2,1,7590932,58,0.237105,-6.2576,-6.97727,0.900919,-0.00282017,
10.6400,2,1,7590932,58,0.193182,-6.47079,-6.134,0.869292,-0.00297144,
10.9210,2,1,7590932,58,0.226769,-7.00988,-6.22404,0.866481,-0.0113025,
11.2030,2,1,7590932,58,0.257116,-7.40759,-6.37868,0.88043,-0.018062,
11.4840,2,1,7592083,58,0.260329,-7.517,-6.58485,0.880308,-0.0484445,
11.7810,2,1,7592083,58,0.301044,-7.56002,-6.07632,0.901996,-0.0664664,
12.0620,2,1,7592083,58,0.282693,-7.70864,-6.05323,0.90921,-0.0951191,
12.3430,2,1,7592083,58,0.292516,-7.84261,-5.69539,0.914948,-0.0848058,
12.6400,2,1,7593233,58,0.286944,-7.94503,-6.18749,0.90716,-0.113414,
12.9370,2,1,7593233,58,0.265032,-7.95727,-6.40864,0.896291,-0.0905013,
13.2180,2,1,7593233,58,0.292083,-7.66328,-6.74414,0.885208,-0.0264616,
13.5000,2,1,7593233,58,0.277364,-7.71577,-6.72577,0.337549,-0.0244022,
13.7810,2,1,7594383,59,0.22124,-7.96598,-6.25567,0.0614969,-0.00502419,
14.0930,2,1,7594383,59,0.236882,-7.75364,-6.82824,0.707428,0.00121504,
14.3750,2,1,7594383,59,0.246679,-7.75105,-7.31158,0.7655,0.00833018,
14.6400,2,1,7594383,59,0.224004,-8.10364,-7.36812,0.796784,-0.0712434,
14.9210,2,1,7595517,59,0.258522,-8.08642,-7.33562,0.838951,-0.0834623,
15.2180,2,1,7595517,59,0.240149,-8.1822,-7.45453,0.848692,-0.0796937,
15.5000,2,1,7595517,59,0.222223,-8.12815,-7.50619,0.828854,-0.0388962,
15.7810,2,1,7595517,59,0.196247,-8.1405,-7.49805,0.807145,-0.0252077,
16.0620,2,1,7596667,59,0.160079,-8.2023,-7.62624,0.832217,-0.0195411,
16.3750,2,1,7596667,59,0.188147,-7.98489,-7.83752,0.845671,-0.0233845,
16.6560,2,1,7596667,59,0.190786,-8.00349,-8.11949,0.795704,-0.0276354,
16.9370,2,1,7596667,59,0.268683,-11.2589,-9.23432,0.769138,-0.0439766,
17.2180,2,1,7597818,59,0.320886,-13.3246,-9.84369,0.667298,-0.0275,
17.5150,2,1,7597818,59,0.345326,-13.3485,-10.6619,0.795846,-0.0411429,
17.7960,2,1,7597818,59,0.328112,-13.2441,-10.7962,0.830109,-0.0735341,
18.0780,2,1,7597818,59,0.294037,-13.2511,-10.9923,0.861161,-0.0746152,
18.3750,2,1,7598969,59,0.22096,-13.8386,-10.8869,0.870147,-0.0753412,
18.6710,2,1,7598969,59,0.316306,-14.349,-10.9506,0.842728,-0.0790121,
18.9530,2,1,7598969,59,0.367883,-14.5942,-11.1994,0.844443,-0.091123,
19.2340,2,1,7598969,59,0.369913,-14.5022,-11.2835,0.853625,-0.106043,
19.5150,2,1,7600118,59,0.355316,-14.541,-11.5749,0.863664,-0.100668,
19.8120,2,1,7600118,59,0.366105,-14.2161,-12.2048,0.887742,-0.0881076,
20.1090,2,1,7600118,59,0.359605,-14.4313,-12.0606,0.893589,-0.0466104,
20.3900,2,1,7600118,59,0.373725,-14.6625,-12.025,0.89496,-0.054419,
20.6710,2,1,7601269,59,0.403085,-14.4628,-12.0957,0.898359,-0.0683737,
20.9680,2,1,7601269,59,0.345107,-14.586,-12.1425,0.905271,-0.0753728,
21.2500,2,1,7601269,59,0.368758,-15.2688,-11.8017,0,-0.00627631,
21.5310,2,1,7601269,59,0.361445,-14.8065,-12.2456,0.70053,-0.0507375,
21.8120,2,1,7602419,59,0.392094,-14.5999,-12.198,0.864713,-0.0787027,
22.1250,2,1,7602419,59,0.397797,-14.5254,-12.1357,0.895257,-0.0829129,
22.4060,2,1,7602419,59,0.384556,-14.5853,-12.0888,0.91028,-0.112402,
22.6870,2,1,7602419,59,0.39189,-14.4959,-11.9162,0.909231,-0.1093,
22.9680,2,1,7603569,59,0.41238,-14.4458,-12.0157,0.905371,-0.121111,
23.2650,2,1,7603569,59,0.421928,-14.5662,-12.0287,0.924501,-0.13602,
23.5460,2,1,7603569,59,0.429573,-14.5347,-12.3311,0.935708,-0.12976,
23.8430,2,1,7603569,59,0.397946,-14.4149,-12.3421,0.911187,-0.0778213,
24.1250,2,1,7604719,59,0.369462,-14.4536,-12.3265,0.911317,-0.0683211,
