epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.831,1.95467,1.32688,1.12734,0,0,0,0,0,0,0,0.000333126,0.000333126,0.0670205
2,372.913,1.80192,1.08913,1.06709,0,0,0,0,0,0,0,0.000666295,0.000666295,0.0340203
3,566.642,1.76363,1.02425,1.05088,0,0,0,0,0,0,0,0.000998807,0.000998807,0.00101951
4,735.354,1.71317,0.98264,1.03915,0,0,0,0,0,0,0,0.000997781,0.000997781,0.000997781
5,1052.24,1.68832,0.94664,1.03223,0,0,0,0,0,0,0,0.000996057,0.000996057,0.000996057
6,1300.43,1.68761,0.93843,1.02694,0,0,0,0,0,0,0,0.000993844,0.000993844,0.000993844
7,1684.43,1.65272,0.91892,1.02201,0,0,0,0,0,0,0,0.000991144,0.000991144,0.000991144
8,1844.47,1.65143,0.90336,1.01947,0,0,0,0,0,0,0,0.000987959,0.000987959,0.000987959
9,2024.92,1.63169,0.88927,1.0177,0,0,0,0,0,0,0,0.000984292,0.000984292,0.000984292
10,2197.62,1.62611,0.87525,1.0124,0,0,0,0,0,0,0,0.000980147,0.000980147,0.000980147
11,2358.61,1.63092,0.87769,1.01106,0,0,0,0,0,0,0,0.000975529,0.000975529,0.000975529
12,2543.81,1.61754,0.87041,1.00686,0,0,0,0,0,0,0,0.000970441,0.000970441,0.000970441
13,2703.54,1.62181,0.86456,1.00639,0,0,0,0,0,0,0,0.000964889,0.000964889,0.000964889
14,2874.4,1.60267,0.85436,1.00365,0,0,0,0,0,0,0,0.000958878,0.000958878,0.000958878
15,3052.13,1.60561,0.84702,1.00124,0,0,0,0,0,0,0,0.000952414,0.000952414,0.000952414
16,3873.84,1.59211,0.83801,1.00317,0,0,0,0,0,0,0,0.000945504,0.000945504,0.000945504
17,4016.58,1.582,0.83154,0.99904,0,0,0,0,0,0,0,0.000938154,0.000938154,0.000938154
18,4152.87,1.5772,0.82713,0.99372,0,0,0,0,0,0,0,0.000930372,0.000930372,0.000930372
19,4287.97,1.58078,0.82422,0.99414,0,0,0,0,0,0,0,0.000922165,0.000922165,0.000922165
20,4420.97,1.58968,0.82487,0.99276,0,0,0,0,0,0,0,0.000913541,0.000913541,0.000913541
21,4576.62,1.56516,0.80724,0.99414,0,0,0,0,0,0,0,0.000904509,0.000904509,0.000904509
22,4730.84,1.56874,0.80964,0.99098,0,0,0,0,0,0,0,0.000895079,0.000895079,0.000895079
23,4909.1,1.55698,0.80419,0.99178,0,0,0,0,0,0,0,0.000885258,0.000885258,0.000885258
24,5077.47,1.56593,0.80488,0.98889,0,0,0,0,0,0,0,0.000875057,0.000875057,0.000875057
25,5254.54,1.55857,0.80472,0.99096,0,0,0,0,0,0,0,0.000864486,0.000864486,0.000864486
26,5421,1.56119,0.80383,0.9865,0,0,0,0,0,0,0,0.000853555,0.000853555,0.000853555
27,5584.6,1.55042,0.79241,0.98916,0,0,0,0,0,0,0,0.000842275,0.000842275,0.000842275
28,5740.83,1.52239,0.77788,0.98522,0,0,0,0,0,0,0,0.000830658,0.000830658,0.000830658
29,5904.93,1.54943,0.7898,0.98487,0,0,0,0,0,0,0,0.000818714,0.000818714,0.000818714
30,6067.36,1.5434,0.78132,0.9787,0,0,0,0,0,0,0,0.000806455,0.000806455,0.000806455
31,6226.65,1.5438,0.78267,0.98183,0,0,0,0,0,0,0,0.000793895,0.000793895,0.000793895
32,6387.71,1.53796,0.77418,0.97737,0,0,0,0,0,0,0,0.000781044,0.000781044,0.000781044
33,7230.96,1.53682,0.77677,0.97903,0,0,0,0,0,0,0,0.000767916,0.000767916,0.000767916
34,7397.8,1.54104,0.77452,0.97736,0,0,0,0,0,0,0,0.000754523,0.000754523,0.000754523
35,8483.19,1.52997,0.76754,0.97806,0,0,0,0,0,0,0,0.000740879,0.000740879,0.000740879
36,8644.18,1.52444,0.76937,0.98164,0,0,0,0,0,0,0,0.000726998,0.000726998,0.000726998
37,8807.91,1.52371,0.76221,0.97708,0,0,0,0,0,0,0,0.000712893,0.000712893,0.000712893
38,8975.51,1.51604,0.75942,0.97544,0,0,0,0,0,0,0,0.000698577,0.000698577,0.000698577
39,9150.3,1.51667,0.75623,0.9733,0,0,0,0,0,0,0,0.000684065,0.000684065,0.000684065
40,9416.39,1.51266,0.75599,0.97151,0,0,0,0,0,0,0,0.000669372,0.000669372,0.000669372
41,9605.34,1.51248,0.75613,0.97117,0,0,0,0,0,0,0,0.000654512,0.000654512,0.000654512
42,9784.15,1.51844,0.75392,0.97574,0,0,0,0,0,0,0,0.000639499,0.000639499,0.000639499
43,9993.97,1.50997,0.74896,0.97136,0,0,0,0,0,0,0,0.000624349,0.000624349,0.000624349
44,10209.9,1.51725,0.75229,0.97031,0,0,0,0,0,0,0,0.000609076,0.000609076,0.000609076
45,10405.9,1.50613,0.74166,0.96897,0,0,0,0,0,0,0,0.000593695,0.000593695,0.000593695
46,10946.9,1.50585,0.7406,0.96862,0,0,0,0,0,0,0,0.000578221,0.000578221,0.000578221
47,11150.8,1.48805,0.73542,0.96745,0,0,0,0,0,0,0,0.000562671,0.000562671,0.000562671
48,11516.9,1.50297,0.74394,0.9691,0,0,0,0,0,0,0,0.000547059,0.000547059,0.000547059
49,11718.1,1.48185,0.7276,0.96753,0,0,0,0,0,0,0,0.0005314,0.0005314,0.0005314
